"CLOSEDDATE","DESCRIPTION","CLOSED","CASE_REASON","STATUS","SUBJECT","COMPANY_NR","LCM_COMPLAINT_NUMBER","LCM_CUSTOMER_NUMBER","CREATED_IN_LCM","OWNER_LCM"
"","19.01.15/Annahme ESK 1:
Gemäss Info RL Heim hätte der Vertrag-Nr. 3551208 den bestehenden Vertrag-Nr. 3407578 per sofort ersetzen müssen.",1,"Contract","Closed","Vertrag nicht ersetzt ",19062573,"1000394",3265098785,"19.01.2015","Gabriela Manser"
"10.06.2015","Kunde Herr Giano ruft an betreffend RG 200000858700. Den einen Teil der MUT habe er beglichen über Swisscom wieso er aber nochmals CHF 30.00 zahlen muss versteht er nicht. habe mit ihm auch alle Auszüge angeschaut und 
besprochen und gesehen dass am18.3.2015 changeover bestätigt wurde mit doppletem EI unter Dietikon drin. Einer sollte aber unter Schlieren sein. Dies wurde dann geändert aber sie CHF 30 wurden nicht gelöscht ",1,"Bill","Closed","Kunde mit MUT nicht einverstanden ",19062614,"1004264",4127944975,"10.06.2015","Giovanna Rakoczi"
"18.06.2015","02.06.15/Annahme ESK 1:
Gemäss Telefon mit Frau Tanner vom 10.04.15 hat sie sich beschwert, dass ihr Produkte verkauft wurden, 
von denen sie gar nichts wusste,  Es handelt sich um die TL  Winterthur (VT-Nr. 3346438.007). Ausserdem ist auf dem Vertrag
3546434 das loacl Info teurer als auf dem früheren VT-Nr. 3526001. Sie sagt auch, sie hätte sicher keinen neuen Vertrag unterzeichnet 
wenn sie gewusst hätte, dass die Produkte teurer werden als sie vorher waren,  da die Verträge ja ersetzt wurden.

Frau Tanner wünscht, dass der Vertrag 3546434 so angepasst wird wie mit ihr besprochen (ohne TL und das Info)
Frau Tanner ist unter 044 241 29 40 erreichbar.
Bitte klären, merci 
",1,"Contract","Closed","Unzufrieden mit neuem Vertrag-Nr. 3546434 ",19062640,"1002570",3814715045,"10.04.2015","Gabriela Manser"
"06.06.2015","13.05.2015 / Annahme ESK1 / Reto Z.
Die Kundin schickt eine Korrektur für das Inserat im 607
Daraufhin wurde sie von der IP kontaktiert, da die Korrektur so nicht gemacht werden kann.",1,"Product","Closed","Kundin absolut unzufrieden mit dem Inserat",19062776,"1003538",3983533686,"13.05.2015","Reto Zimmermann"
"","08.04.15/Annahme ESK 1:
Gemäss Rückmeldung Kube C. Jenni sind die Vt-Nr. 3567601.001 + 3567601.003 trotz erfolger 
richtiger Vertragsaufnahme zu früh aufgeschaltet worden. Die Position-Nr. 3567601.004 hat geklappt, diese beiden aber nicht. 
Wieso nicht.?
",1,"Publication","Closed","Info und Link zu früh aufgeschaltet / VT-Nr. 3567601",19062790,"1002500",3801930803,"08.04.2015","Gabriela Manser"
"17.03.2015","17.03.2015 / Annahme ESK1 / Reto Z.
Der Kunde ist mit der Differenz von CHF 100 nicht einverstanden. Der alte Vertrag war CHF 490.00, der neue CHF 590.00. Da der neue aber den alten Ersetzt, verlangt er eine GUT von CHF 100",1,"Contract","Closed","Falscher Preis",19062873,"1002094",23394580,"17.03.2015","Reto Zimmermann"
"17.07.2015","Kunde ruft an hat RG erhalten für Banner. Neuer VT 3562984 ersetzt VT 3431653 wurde aber nicht gemacht. Danke für die Abklärung und feedback an Kunde",1,"Contract","Closed","VT wurde nicht ersetzt",19062917,"1004449",4153240555,"15.06.2015","Mona Trindler"
"27.04.2015","27.04.15/Annahme ESK 1:
Kunde hat auf die TL-Rechnungen aus VT-Nr. 8467866 Rechtsvorschlag erhoben. ",1,"Contract","Closed","Rechtsvorschlag / Top Listing / VT-Nr. 8467866",19063026,"1002960",3903293806,"27.04.2015","Gabriela Manser"
"16.04.2015","Vertrag wurde von AA falsch erfasst. ",1,"Contract","Closed","Vertrag falsch erfasst",19063081,"1002717",3846888359,"16.04.2015","Giovanna Rakoczi"
"08.06.2015","Falscher Prozes!!!!",1,"Contract","Closed","Falscher Prozess!!!!",19063216,"1004212",4114283241,"08.06.2015","Claudia Dabiri"
"","15/04/2015 - MonaT.

Erhalten ein Einschreiben der KD, in dem Sie ihren Unmut kund tut.
Sie fühlt sich von KUBE/RL genötigt und will diesen VT ABSOLUT NICHT.

",1,"Contract","Closed","Vertrag",19063246,"1002728",3840437017,"16.04.2015","Mona Trindler"
"17.07.2015","04.06.15/Annahme ESK 1:
Bei einer Kontrolle sind die gesperrten Rechnungen aus VT-Nr. 5827597 und Nr. 3422332 aufgefallen. Es handelt sich um RG-Nr. 150909 und Nr. 151546.
Gemäss Sambaeintrag hat KD im Oktober 2014 angerufen und Kube A. Sipar verlangt. CSC hat diese gewünschte Kontaktaufnahme an Ali Sipar gesendet.
CSC hat jedoch nie eine Rückmeldung erhalten. Gemäss Kunde sei etwas nicht in Ordnung mit den Verträgen und sie wünsche Kube-Kontakt.
Bitte definitiv klären, danke. 
",1,"Contract","Closed","Unzufrieden mit Vertragssituation / KD-Nr. 1125067 ",19063341,"1003788",3265099216,"22.05.2015","Gabriela Manser"
"11.05.2015","30.04.15/Annahme ESK 1:
Kundentelefon von Herr Kohler vom 18.03.2015
Er sagt, er habe seine Banner Rechnung zurückgeschickt da er diesen Vertrag nicht möchte. Der Banner 
wurde im Februar abgeschlossen, jedoch wusste Herr Kohler kein einziges Detail dieses Vertrages.
Habe ihm alles erklärt und auch gesagt dass eine Kündigung normalerweise nur bei Geschäftsaufgabe akzeptiert wird. 
Er besteht aber darauf dass er diesen Vertrag wegen falscher Info stornieren möchte.
Bitte klären, merci. ",1,"Contract","Closed","Unzufrieden mit Vertrag-Nr. 3567443 ",19063466,"1002142",3699815301,"18.03.2015","Gabriela Manser"
"12.06.2015","12.06.2015
Mail von Marcel Landolt und Sofort Storno Formular: 
Bitte diesen Vertrag 8493150.01 sofort storno sowie RG 265848 gutschreiben – Kunde ist nicht bereit die RG 265848 zu bezahlen. Alles Infos im Sofort Storno Formular.
Kunde ist nicht bereit die RG zu bezahlen von dem Vertrag 8493150.001 - Es wurde letzes Jahr
vereinbart das dieser Vertrag ersetzt wird mit neuem Vertrag. Was nicht wurde. Bitte RG gutschreiben
und Vertrag 8493150.001 storno mit RB 1896 Pablo Mateu.",1,"Contract","Closed","Vertrag nicht ersetzt",19063528,"1004376",4140664003,"12.06.2015","Manuela Rittmeyer"
"","21.04.15/Annahme ESK 1:
Gem Tel mit Kundin Frau Rutschmann vom 23.02.15 hat sie einen neuen Vertrag (3547908) mit Kube
Hotic gemacht, der eigentlich erst ab dem 13.07.2015 laufen sollte, da der alte Vertrag (8487281) bis am 12.07.25015 noch am 
laufen ist und es ist jeweils das Local Top Listing Ecxclusive. Inkasso ist unterbrochen bis 20.05.15. ",1,"Product","Closed","Doppelter Vertrag / VT-Nr. 3547908 + 8487281",19063541,"1001519",3265099379,"23.02.2015","Gabriela Manser"
"03.07.2015","18.06.15 / ESK 0
Mail von Kube Stefanie Brühwiler: Kundin Bäckerei Gerig in Waldstatt hat reklamiert, da das Inserat ( Inhalt ) falsch gedruckt wurde, trotz retournieren von GzD. 
Sie hat es rechtzeitig zurückgeschickt.
Sie hätte gerne eine Gutschrift (  340.- ) da Sie findet, Sie halt alles richtig gemacht.
Ich habe Kundin besucht und habe Ihr gesagt dass ich es abkläre aber nichts garantieren kann.
",1,"Publication","Closed","Inserat falsch erschienen trotz Korrektur",19064055,"1004578",3544456343,"18.06.2015","Manuela Rittmeyer"
"","19.01.15 / Annahme ESK1 / Reto Z.
Kundin meldet sich weil sie für das Ins in den Gelben Seiten eine RG erhalten hat. Gemäss ihrer Aussage sollte der neue Vertrag den ganzen alten Vertrag ersetzten
",1,"Contract","Closed","Vertrag nicht richtig ersetzt",19064099,"1000388",3265099593,"19.01.2015","Reto Zimmermann"
""," Antonietti Kerzers AG Hoch- & Tiefbau -
Allmendstrasse 11 
Postfach 43 
3210 Kerzers 
 031 755 58 38

Gemäss Telefonat mit herr Antonietti droht er mit Anwalt und erwartet eine Entschädigung von Local.ch.
Er wird ab sofort alle Zahlungen einstellen und uns nichts mehr bezahlen bis sein Anliegen geklärt ist.
Bis Freitag abend will er eine Antwort sonst wird er weitere Schritte einleiten.

Kundenummer:
1007739363
Mit dieser Kundenummer war eine Nummer bis gestern 14.04.2015 veröffentlicht (Prinstscreen im Mail Anhang) dieser Eintrag wurde mitlerweile von einer Mitarbeiterin von herr Antonietti rausgelöscht.
Derr Eintrag lautete:
Antonietti Kerzers AG
Allmendstrasse 11
3210 Kerzers
032 535 79 98

Herr Antonietti will wissen von wo wir diese Nummer haben, wiso diese veröffentlich wurde und seit wann diese Publiziert wurde.

Der Richtige Eintrag ist ind der Kundenummer bereits veröffentlicht, dieser ist korrekt so:
1004013219

Er ist erreichbar unter: 031 755 58 38 oder 079 407 87 86",1,"Product","Closed","Falsche Nummer veröffentlicht",19064173,"1002690",3622049018,"15.04.2015","Adrian Utz"
"27.04.2015","Kunde reklamiert, dass er ein neuer Vertrag erhalten hat, obwohl seine Frau nicht berechtigt ist mit der Unterschrift. Somit Vertrag rechtlich nicht gültig.",1,"Contract","Closed","Signature pas valable",19064320,"1002368",3265160551,"30.03.2015","Julie Frei"
"22.05.2015","20.05.15 - Annahme
Erhalte e-mail von KUBE Marco Arcini:
""questo errore si è riscontrato direttamente quando ero dal cliente, come puoi notare dalla sua mail non è rimasto molto contento a tal punto che per il momento non mi ha voluto rinnovare i contratti.
Da notare che i buoni stampa inviatigli sono corretti vedi allegato, oltre al logo completamente errato mi domando il testo in Italiano dove sia finito.
Questo cliente è cliente da moltissimi anni e ha sempre pagato regolarmente quindi la sua richiesta è sapere da quando è online errato con una chiara richiesta di risarcimento .
Se hai bisogno di ulteriori info rimango a tua disposizione.""

KUBE hat folgendes e-mail von Kunde Claudio Falcetti erhalten, am 19.05.15:
""Egregio Signor Arcini,
la presente per comunicarle la mia delusione per quanto concerne il logo (vedi allegato) del Mobile First.
Non so da quanto tempo appaia cosi ma comunque ritengo siano cose che non debbano succedere.
Non ho parole... Resto in attesa di un suo riscontro. Distinti saluti.""",1,"Product","Closed","Logo im MOF ist nicht korrekt",19064650,"1003777",4024143731,"22.05.2015","Giancosimo Jadanza"
"","10.06.2015 / Annahme ESK1 / Reto Z.
Der Kunde beschwert sich über das Vorgehen von KUBE Markovic. Er fühlt sich schlecht beraten, da er anscheinend nicht informiert wurde, dass der Preis neu nicht mehr CHF 460 ist, sondern CHF 480. Siehe Email des Kunden im ANhang",1,"Service","Closed","Kunde beschwert sich über das Vorgehen des KUBE ",19064755,"1004258",3265099914,"10.06.2015","Reto Zimmermann"
"14.04.2015","Accettazione – OT142634
R.Scumaci (Customer Care-BE) invia il 21.11.14 e-mail a J.Kolb:
""Cliente vuole password + login per poter collegare la Homepage con il LINK
farmacia_pestoni@bluewin.ch
091 647 16 27. Grazie.""

21.11.14
J.Kolb invia e-mail a RLA.Rolli:
""Questa cliente a chiamata al Customer Care a Berna per ricevare lo URL che avete fatto per lei per il prodotto LNK oLIU.
Lei a bisogno da questo URL www.farmaciapestoni.ch per fare il suo nuovo Website. Ho visto che questo è un URL che era amministrato par noi (LTV Gelbe Seiten). 
Allora ti contatto perche voi dovete guardare, penso, con la cliente et al interna con MonikaHurni come potete avere gli codici per questo URL.
Noi (PWP) non possiamo fare niente. 
Non so ti capisci che voidire, si no,chiama mi.""

25.11.14
Cliente signora Marzia Bernasconi invia e-mail a Customer Care:
""Per favore inviatemi i dati ftp per mettere on line il mio sito internet!!!!!!! chi è la Sig.ra MONICA HURNI PROPRIETARIA DEL NOSTRO DOMINIO???????Non conosco questa Signora, e non mi avete chiesto autorizzazione per intestare il mio dominio ad altri. Se non mi rispondete dovrete rendere conto al mio avvocato. Cordiali saluti. marzia Bernasconi.""

26.11.14
Ricevo da customer care e-mail d cliente.
",1,"Publication","Closed","Rimborso cliente, perché fatto da se, da noi ricevuto info d'attivazione solo dopo 2 mesi",19064761,"1002599",3265099916,"14.04.2015","Giancosimo Jadanza"
"15.10.2015","Gemäss Kunde Maponta habe KUBE Vidakovic behauptet dass die Unterschrift auf dem Vertrag nur zur Bestätigung seines Besuchs sei. Kunde war sich zu dem Zeitpunkt nicht bewusst dass er einen Vertrag unterschreibt. Gemäss ihm soll der Vertrag storniert werden.",1,"Service","Closed","Neuer Vertrag",19064886,"1003164",3919249962,"30.04.2015","Stefania Staropoli"
"11.06.2015","Gem Tel mit Frau Benassi. sie wurden nicht informiert vom Kube, dass es sich um ein Vertrag handelt. Herr Barbisan hat den Vertrag unterschrieben mit der Information, dass der Kube die Unterschrift braucht, 
um den Besuch zu bestätigen. Kunde möchte kein neuen Vertrag. im Samba ist er noch auf provisorisch Vertragsnummer 3577845

Merci Simona ",1,"Contract","Closed","Unterschrift war nicht für den Vertrag",19064886,"1003202",3937476183,"04.05.2015","Giancosimo Jadanza"
"26.06.2015","Gem. Mail von Frau Diaz ht die Publikationsgebühren betreffend EI, die in Januar gelöscht wurde auf der swisscom RG ",1,"Bill","Closed","Publikationsgebühren verrechnet, trotz Löschung der EI im Januar",19064967,"1004818",3846903311,"26.06.2015","Simona Sammali"
"26.05.2015","
Auftrag von BO erhalten: Kundin hat sich innerhalb 14 Tage gemeldet
Infolge Rückstand bei BO wurden die EI zu spät angepasst und somit
Gebühren übermittelt. ",1,"Bill","Closed","Rückgängig zu spät erledigt ",19065169,"1003822",4043010450,"26.05.2015","Claudine Lovis"
"","gem schreiben des Kunden ist er überrascht, dass er bereits eine Rechnung bekommen hat obwohl er dies, wie im schreiben erwähnt, mit Sohn und Assistentin anschauen will. Musste aber auch eine Unterschrift geben.
",1,"Contract","Closed","Vertrag",19065183,"1000719",3265100165,"29.01.2015","Mona Trindler"
"20.02.2015","1. KD-Fall
21.10.14/Annahme ESK 1:
Kunde schreibt uns mit Brief vom 16.10.14, dass er nochmals bezüglich neuen Verträgen-Nr. 3528709 und Nr. 3528708 kontaktiert werden will. Grund: Seine Unterschrift sei als Offertbestätigung und nicht als Vertragsbestätigung gedacht gewesen, zudem benötigt er noch das Einverständnis seiner Partnerin und das Coiffeurgeschäft gehöre seinem Sohn. Bitte klären, merci.
----------
21.10.14/Bearbeitung:
KD-Fall mit OT-Nr. 142393 ausgelöst/mag
-------------
19.01.15/Lösung:
KD-Fall retour: Erscheint wie bisher. KD wurde am 24.10.14 nochmals darüber aufgekärt und er ist selber UB. Per Brief informiert/mag
--------------

06.02. 15/Annahme ESK 2:
Kunde interveniert auf unsere Gültigkeitsbestätigung mit Brief vom 23.01.15 wie folgt:
1)	Der Salon Grenchen gehöre nicht ihm
2)	Im Geschäft wo er tätig sei, sei er Teilhaber
3)	Missverständis zwischen Kube und Kunde oder absichtlich getäuscht?
4)	Alter von 76 Jahren
5)	Unlauterer Verkauf?

Kunde ist bereit für einen Einjahresvertrag zu zahlen. Bitte definitiv klären. Danke. 
",1,"Contract","Closed","Mit neuem Vertragsabschluss nicht zufrieden ",19065183,"1001003",3265100165,"06.02.2015","Gabriela Manser"
"","Frau Rosy hat angerufen betreffend RG welche sie erhalten haben VT 9148712. Der neue VT 3546553 hätte VT 9148712 ersetzen sollen gemäss Abmachung mit Kube, danke für die Bearbeitung.

Man kann Kunde oder Frau Rosy erst in zirka 3 Wochen erreichen.

Gruss

Giovanna 


28.05.15 - Accettazione
Ricevo e-mail da G.Melina, cliente, signora Rosy, ha chiamato in data 18.05.15 e si lamenta, che ha ricevuto la fattura per il contratto no. 9'148'712 (fattura no. 266764 / CHF 723.60, IVA incl.). 
Ma questo contratto avrebbe dovuto essere rimpiazzato dal contratto no. 3'546'553, come confermato dal consulente.

Cliente signora Rosy dovrebbe essere contattata dopo il 08.06.15.

28.05.15 - Elaborazione
Le inserzione in edizione 573 sono state pubblicate.
Contratto no. 3'546'553 (Local Info) è attivo e online dal 14.02.15.
Contratto no. 9'148'712 è in 3. anno di contratto.
Ho bloccato la fattura no. 266764 ed inviato la conferma ""Caso in elaborazione"" cliente.

Fieldsales, pls verificare con la cliente dopo il 08.06.15.
Grazie per Feedback.",1,"Contract","Closed","Vertrag hätte ersetzt werden sollen",19065228,"1003586",3265100187,"18.05.2015","Giancosimo Jadanza"
"","Sali Marcello

Frau Fidan hat sich in den letzten 4 Wochen 5 mal gemeldet.

Sie ist mit den Kosten nicht einverstanden, da sie mit den Einträgen nicht einverstanden ist. Dieses hatte sie Gesualdo bereits mitgeteilt. 

Vor 3 Wochen habe ich die GV 1327748 erstellt, diese wurde bis heute nicht bearbeitet. Der Kunde ist nun extrem verärgert und verlangt eine sofortige erlediung des Falles. 

360 Fr Aufnahmen
218.46 Prorata

Verrechnung über Swisscom 

Danke für die Bearbeitung. Tel Nr. von Frau Fidan ist: 091 8574451",1,"Publication","Closed","KD erwartet seit Januar einen Rückruf und löschung der Einträge/Rechnung",19065250,"1003072",3427635962,"29.04.2015","Stefania Staropoli"
"","Aspetto nuovo no di contratto per informare cliente",1,"Product","Closed","Aspetto nuovo no di contratto per informare cliente",19065283,"1002252",3265100207,"24.03.2015","Giancosimo Jadanza"
"","28.04.2015 :

Selon RL Beyeler, le client désire annuler le contrat pas encore activé N° 3558425.001 (Local Top Listing Exclusive).

Bastien V.",1,"Product","Closed","Le client ne veut plus du Top Listing 3558425",19065463,"1003069",3265100308,"28.04.2015","Bastien Venturi"
"23.04.2015","Gemäss Mail Kube Bellotti und Mail Kundin seien die EI jahrelang faslch gewesen. Habde dem Kube erklärt dass gemäss Überprüfung seit 2007 die Telefonnummern richtig sind. Man hat eine Anpassung gemacht. Kube sagt Kundin wolle evtl das Geld retour der letzten 
Jahre da sie nie ein Auszug erhalten hat. Damit Kundin zufrieden fragt Kube ob wir die MUT Gebühren löschen können.",1,"Bill","Closed","EI falsch erschienen ",19065491,"1002902",3840429294,"23.04.2015","Giovanna Rakoczi"
"","25.03.15/Annahme ESK 1:
Gemäss Rückmeldung Kube G. Reiter ist das Inserat aus VT-Nr. 9117871.001 zweimal falsch platziert erschienen. ",1,"Product","Closed","Inserat falsch platziert / VT-NR. 9117871.001 ",19066186,"1002288",3265100821,"25.03.2015","Gabriela Manser"
"12.07.2016","17.06.15/Annahme ESK 1:
Gemäss Telefon der Kundin vom 11.05.2015 ruft sie an, da sie RG erhalten hat. 
Sie habe im März neuen Vertrag-Nr. 3315687abgeschlossen, der die restlichen VT hätte ersetzen sollen.
So steht es auch auf dem neuen Vertrag.  ",1,"Contract","Closed","Verträge nicht ersetzt ? / VT-Nr. 3315687 + 3289811",19066291,"1003384",3265100774,"11.05.2015","Gabriela Manser"
"05.05.2015","Hallo Zusammen 

Herr Weber hat reklamiert da er die Zusatzeinträge die am 16.03.2015 erstellt wurden nicht wollte dies hat er Dominic Blum am 20.03.2015 gemeldet,
es ist ein Fall offen jedoch nicht bearbeitet worden nun wurde die Rechnung ausgelöst.
Einträge löschen die am 16.03.2015 erstellt wurden Rechnungskorrektur Kunde  wird die Rechnung nicht bezahlen. ",1,"Bill","Closed","Rechnungs Storno ",19066448,"1002588",3827048421,"13.04.2015","Daniel Odermatt"
"","08.10.2014, julie pouria : 
Lettre client : suite à mauvaise finance ils ont du faire restructuration et une complète réorganisation (plein d'employé ont du être licencié)
La nouvelle direction refuse les contrats local.ch qui ont été signé par Madame Krafsikt qui en plus n'a pas la signature individuelle mais collective et avec procuration",1,"Contract","Closed","Nouvelle direction réfute contrat",19066570,"1004011",4062916543,"01.06.2015","Julie Frei"
"","23.04.15/Annahme ESK 1:
Gemäss Rückmeldung Kube Kilian Eicher ist das Inserat aus VT-Nr. 3521344 falsch gedruckt worden.
",1,"Product","Closed","Inserat falsch gedruckt / VT-Nr. 118211",19066633,"1002935",3147949581,"23.04.2015","Gabriela Manser"
"30.04.2015","salut,

merci de faire une bonification de 90.- car le data a modifié l'adresse et je n'ai aps réussi a contacter le client au téléphone et j'ai confirmé par mail et la cliente l'a controle mais n 'a pas fai attention.

j'ai remis l'ancienne adresse et demande une bonif de 90CHF

Merci

Yann Alarco",1,"Bill","Closed","Dam lieferte falsche daten",19066654,"1002972",3890952928,"24.04.2015","Martina Neuhaus"
"15.06.2015","Accettazione
Cliente Gianfranco Marcoli invia lettera, che riceve di nuovo richiesta di pagamento (anche da Alphapay).
Ha perso gia troppo tempo e ci rispedisce tutto indietro, chiedendoci di fare ordine internamente.
Inoltre ci segnala, che se dovrebbe ancora ricevere richieste di questo tipo, darà disdetto in tronco del contratto del 07.10.13 chiedendo la restituzione di quanto nel frattempo pagato.


Elaborazione
Chiamo RL A.Rolli, dato che lei aveva sollecitato (inizio ottobre) un estratto fattureper inviare al cliente.
Antonella mi conferma che è un cliente molto particolare che spende molti soldi con noi.
Gia lei con KUBE R.Arcini è stata da lui che le ha detto di tutti i colori, in maggio, per delle fatture etc.
In maggio, Claudia Bone ha parlato e chiarito con il cliente.
Per questa raggione Antonella propone, di aspettare il ritorno di Claudia, fine novembre, dato che il cliente la menziona nella sua lettera e lei gia conosce benissimo il cliente/caso.

Dopo discussione con R.Aemisegger, lui mi da ok per inviare lettera ""Caso in elaborazione"" al cliente e menzionare, che aspettiamo a fine novembre, così Claudia si mette in contatto con lui.
Invio la lettera al cliente e blocco la fattura di Alphapay (con G.Sivilica) + in SAP./Gianni J.
",1,"Bill","Closed","Rechnung",19066967,"1004442",3265101271,"15.06.2015","Giancosimo Jadanza"
"24.02.2015","11.02.15/Gemäss Rückmeldung RL Wepfer sind die VT-Nr. 9134482.002 und VT-Nr. 9134482.003 falsch erschienen. Inhalt ist korrekt, jedoch Darstellung (zentriert, Logo neu in der Mitte) nicht umgesetzt worden. ",1,"Product","Closed","2 falsche Inserate trotz io. des GzD/ / VT-Nr. 9134482.002 + 9134482.003",19066986,"1001143",3265101284,"11.02.2015","Gabriela Manser"
"06.03.2015","Gemäss Tel mit Herr Ingold, habe er bei der Swisscom die Nummer auf ende Jahr auf Inactiv gesetzt diese haben Ihm versichert das Sie dies auch uns weiterleiten und die Einträge auf den 31.12.2015 gelöscht werden",1,"Service","Closed","Service",19066997,"1001815",3634273402,"06.03.2015","Admirela Sulkovic"
